matrix,kernel,avg_ms,stddev_ms,min_ms,max_ms,gflops,bandwidth_gbs,avg_err,block_size
matrices/kmer_U1a.mtx,COO,9.292821,0.092716,9.010176,9.331712,29.8679,355.5343,6.25e-18,256
matrices/kmer_U1a.mtx,CSR-Scalar,8.484352,0.072376,8.265728,8.515584,32.7140,355.9102,0.00e+00,256
matrices/kmer_U1a.mtx,CSR-Vector,50.733630,4.115450,39.076862,54.056961,5.4709,59.5200,2.99e-17,256
matrices/kmer_U1a.mtx,CSR-Vector Shuffle,42.944287,3.479259,32.637951,44.161022,6.4632,70.3159,2.99e-17,256
matrices/kmer_U1a.mtx,cuSPARSE,9.226547,0.113760,8.842240,9.267200,30.0824,327.2803,2.92e-17,256
matrices/kmer_U1a.mtx,SELLpack-32,9.248563,0.083832,8.993792,9.282560,30.0108,397.8778,0.00e+00,256
matrices/ML_Laplace.mtx,COO,2.910044,0.281004,2.720768,3.368960,19.0306,154.3178,4.70e-16,256
matrices/ML_Laplace.mtx,CSR-Scalar,0.952074,0.001688,0.948224,0.956416,58.1677,356.9256,2.53e-16,256
matrices/ML_Laplace.mtx,CSR-Vector,0.520274,0.001518,0.517120,0.523264,106.4438,653.1554,4.49e-16,256
matrices/ML_Laplace.mtx,CSR-Vector Shuffle,0.503869,0.002021,0.499712,0.507904,109.9093,674.4202,4.49e-16,256
matrices/ML_Laplace.mtx,cuSPARSE,0.478904,0.003161,0.470016,0.485376,115.6388,709.5775,4.70e-16,256
matrices/ML_Laplace.mtx,SELLpack-32,0.445174,0.000966,0.443392,0.447488,124.4007,765.2325,2.53e-16,256
matrices/Raj1.mtx,COO,0.201789,0.004327,0.195584,0.217088,12.9091,124.1854,2.89e-17,256
matrices/Raj1.mtx,CSR-Scalar,4.764099,0.743840,4.222976,5.888000,0.5468,4.3879,1.32e-17,256
matrices/Raj1.mtx,CSR-Vector,0.340398,0.001096,0.338944,0.343040,7.6526,61.4117,6.46e-17,256
matrices/Raj1.mtx,CSR-Vector Shuffle,0.326595,0.001673,0.322560,0.330752,7.9760,64.0073,6.46e-17,256
matrices/Raj1.mtx,cuSPARSE,0.036413,0.000554,0.035840,0.037888,71.5375,574.0856,6.43e-17,256
matrices/Raj1.mtx,SELLpack-32,9.446277,0.004521,9.434112,9.455616,0.2758,6.3345,1.32e-17,256
matrices/shipsec5.mtx,COO,1.116754,0.004240,1.110016,1.128448,18.1116,147.4696,2.18e-16,256
matrices/shipsec5.mtx,CSR-Scalar,0.400896,0.003407,0.394240,0.413696,50.4525,311.6877,1.36e-16,256
matrices/shipsec5.mtx,CSR-Vector,0.246047,0.000926,0.244736,0.247808,82.2047,507.8481,2.75e-16,256
matrices/shipsec5.mtx,CSR-Vector Shuffle,0.236114,0.001420,0.233472,0.240640,85.6629,529.2121,2.75e-16,256
matrices/shipsec5.mtx,cuSPARSE,0.200212,0.003382,0.194560,0.206848,101.0236,624.1087,2.83e-16,256
matrices/shipsec5.mtx,SELLpack-32,0.204677,0.001515,0.201728,0.207872,98.8200,710.1862,1.36e-16,256
matrices/spal_004.mtx,COO,42.881823,0.074897,42.754047,43.063297,2.1533,17.2881,2.11e-15,256
matrices/spal_004.mtx,CSR-Scalar,1.946788,0.003351,1.940480,1.953792,47.4301,285.9652,7.19e-17,256
matrices/spal_004.mtx,CSR-Vector,0.731382,0.005289,0.722944,0.749568,126.2490,761.1804,1.87e-15,256
matrices/spal_004.mtx,CSR-Vector Shuffle,0.732242,0.005442,0.723968,0.753664,126.1007,760.2863,1.87e-15,256
matrices/spal_004.mtx,cuSPARSE,0.648540,0.001442,0.645120,0.652288,142.3755,858.4102,1.87e-15,256
matrices/spal_004.mtx,SELLpack-32,1.853583,0.002219,1.848320,1.858560,49.8150,375.1920,7.19e-17,256
